"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Jumah Iqama"
"1","6:29 AM","","7:55 AM","12:27 PM","","2:41 PM","","4:59 PM","6:24 PM","",""
"2","6:29 AM","","7:55 AM","12:27 PM","","2:42 PM","","5:00 PM","6:25 PM","",""
"3","6:30 AM","","7:55 AM","12:28 PM","","2:42 PM","","5:01 PM","6:26 PM","",""
"4","6:30 AM","","7:55 AM","12:28 PM","","2:43 PM","","5:02 PM","6:27 PM","",""
"5","6:30 AM","","7:55 AM","12:29 PM","","2:44 PM","","5:03 PM","6:28 PM","",""
"6","6:30 AM","","7:55 AM","12:29 PM","","2:45 PM","","5:04 PM","6:28 PM","",""
"7","6:30 AM","","7:55 AM","12:29 PM","","2:46 PM","","5:05 PM","6:29 PM","",""
"8","6:30 AM","","7:54 AM","12:30 PM","","2:47 PM","","5:06 PM","6:30 PM","",""
"9","6:29 AM","","7:54 AM","12:30 PM","","2:48 PM","","5:07 PM","6:31 PM","",""
"10","6:29 AM","","7:54 AM","12:31 PM","","2:49 PM","","5:08 PM","6:32 PM","",""
"11","6:29 AM","","7:54 AM","12:31 PM","","2:50 PM","","5:09 PM","6:33 PM","",""
"12","6:29 AM","","7:53 AM","12:31 PM","","2:51 PM","","5:10 PM","6:34 PM","",""
"13","6:29 AM","","7:53 AM","12:32 PM","","2:52 PM","","5:11 PM","6:35 PM","",""
"14","6:28 AM","","7:52 AM","12:32 PM","","2:53 PM","","5:12 PM","6:36 PM","",""
"15","6:28 AM","","7:52 AM","12:32 PM","","2:54 PM","","5:14 PM","6:37 PM","",""
"16","6:28 AM","","7:51 AM","12:33 PM","","2:55 PM","","5:15 PM","6:38 PM","",""
"17","6:27 AM","","7:51 AM","12:33 PM","","2:56 PM","","5:16 PM","6:39 PM","",""
"18","6:27 AM","","7:50 AM","12:33 PM","","2:57 PM","","5:17 PM","6:40 PM","",""
"19","6:26 AM","","7:50 AM","12:34 PM","","2:58 PM","","5:18 PM","6:42 PM","",""
"20","6:26 AM","","7:49 AM","12:34 PM","","2:59 PM","","5:20 PM","6:43 PM","",""
"21","6:25 AM","","7:48 AM","12:34 PM","","3:00 PM","","5:21 PM","6:44 PM","",""
"22","6:25 AM","","7:48 AM","12:35 PM","","3:02 PM","","5:22 PM","6:45 PM","",""
"23","6:24 AM","","7:47 AM","12:35 PM","","3:03 PM","","5:24 PM","6:46 PM","",""
"24","6:24 AM","","7:46 AM","12:35 PM","","3:04 PM","","5:25 PM","6:47 PM","",""
"25","6:23 AM","","7:45 AM","12:35 PM","","3:05 PM","","5:26 PM","6:48 PM","",""
"26","6:22 AM","","7:44 AM","12:36 PM","","3:06 PM","","5:27 PM","6:49 PM","",""
"27","6:22 AM","","7:43 AM","12:36 PM","","3:07 PM","","5:29 PM","6:51 PM","",""
"28","6:21 AM","","7:42 AM","12:36 PM","","3:08 PM","","5:30 PM","6:52 PM","",""
"29","6:20 AM","","7:41 AM","12:36 PM","","3:09 PM","","5:31 PM","6:53 PM","",""
"30","6:19 AM","","7:40 AM","12:36 PM","","3:10 PM","","5:33 PM","6:54 PM","",""
"31","6:18 AM","","7:39 AM","12:36 PM","","3:12 PM","","5:34 PM","6:55 PM","",""